,N_MLUNG_1,N_MLUNG_2,N_MLUNG_3,N_MLUNG_4,N_MLUNG_5,T_MLUNG_1,T_MLUNG_2,T_MLUNG_3,T_MLUNG_4,T_MLUNG_5,T_MLUNG_6,T_MLUNG_7
EAM103,-0.39961562473144874,-2.2089962667279215,-0.9412372147433273,1.2774536359077397,0.7338068716914137,0.5870942515469417,-0.9403371373191283,0.1939854365279333,0.22863841735960425,1.2142231968577444,-0.07086234554268611,0.3258467791731188
EAM105,0.4120754003697815,0.9170600430108485,1.2136307202355365,1.7028046482588093,0.5553300570582823,-0.14337576569777913,-0.49122745770805976,-0.4641575978321399,-1.5498905499292368,-0.014654190122604584,-0.8004467066269811,-1.337148601016471
EAM109,0.9988474740022866,-0.8619584231262029,1.471541489868158,1.4495380766095547,-0.8619584231262029,-0.8619584231262029,-0.8619584231262029,-0.24206915994415268,-0.11213521096015643,1.2865990077376503,-0.5425295616823315,-0.8619584231262029
EAM111,0.619126919627068,-0.06114328045220751,2.241480958774101,1.071690495592882,-0.8074368247308217,0.44814658396111634,-0.9485846539133911,-1.1091458753746977,0.073058472593933,0.11313198876564191,-1.0368532522009377,-0.6034715326426459
EAM115,0.09145672981381714,0.16748634574430257,0.7775227907250141,1.919091728142827,0.7176888326258731,0.42009361997488315,-1.7001879177788677,-0.7608397635607856,-0.1879183677769068,0.1906551340308098,-1.5614001277519138,-0.07364900418907715
EAM119,0.3365403250052182,0.22304663226341154,0.5338932462729136,1.8422233153798457,0.7241002683679784,0.47882778794263126,-1.738292517119058,-0.17943562995984427,-0.013398560948682213,-0.7054999131686254,-1.6796541092024604,0.17764915516669036
EAM121,1.0943342494210628,0.541476082937828,1.0910751712692346,1.3396539503043003,0.29319358373475163,-0.688381499630177,-0.5923868340671744,-0.874445234116499,-1.0036232408617765,0.8744946140885033,-0.35832576679935124,-1.7170650762806552
EAM131,1.2743055159370926,-1.851842211374133,0.35964506740341584,1.3665064961399016,-0.1000235875207392,0.13214917059865497,-0.5573538117875761,0.589813456387968,-0.4621462778825027,1.0200846973344158,-0.41571172625862207,-1.355426788977843
EAM139,1.3977095294553814,-0.39013465010471565,0.5314292858557664,1.4732808153431693,-0.9026499815786094,0.07774797560994769,-0.06832269778390045,-1.682454357769718,-0.06451877399760222,0.7018450714819195,0.38814815657187274,-1.4620803730835161
EAM145,0.42437929189887813,0.9245238856353502,0.4668120209994102,1.9737979147905338,-0.4601559066306937,0.7326405885998329,-0.16967891550863773,-1.8956925727451786,-0.44673967610626286,-0.15470265817903817,-1.074182457144348,-0.32100151560981866
EAM152,2.861725930146995,-0.4583672382326293,-0.5307977891581048,0.6206938630017793,-0.5307977891581048,-0.5307977891581048,-0.5307977891581048,-0.5307977891581048,0.38953253026090523,0.30199943892969205,-0.5307977891581048,-0.5307977891581048
EAM238,1.0696205986386744,0.28684135394754406,0.41800796688457975,1.1162040237727173,1.2700435639974053,-0.8749581540174546,-0.745397209548936,-0.998645398218731,-0.8299359717421273,1.3038387600244872,-1.0339764510417853,-0.981643082696374
EAM270,0.8107771422486204,1.0632852120004823,0.9886772625327795,1.6870945914333646,0.18537419496303087,-0.5331800368035968,-1.4040069203867367,-0.025411371008832777,0.03441985837012178,-1.2171538461664548,-0.37585142879985417,-1.214024658382955
EAM159,-0.6084963001560711,-0.4801999721459118,0.8118802784817499,1.083017927942527,-0.4979859695595203,0.20059530959539817,-1.1904804851551163,2.01131524480387,0.5341552225714898,-0.19341064496116261,-1.5762653564627183,-0.09412525495453421
EAM163,1.520316399636369,0.28359229617996895,1.2411545593110536,1.4976278660357836,0.5845138997245567,-0.6354923368682539,-0.4988304093325723,-1.1306728997380784,-0.9161932823968844,-0.13103733833362932,-1.063124756720199,-0.75185399749815
EAM171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM183,-0.04933583959719883,-0.12708792115447937,2.368639194079519,0.9850918362528412,-0.18344247693018786,0.25585541835945547,-1.5295066131420554,-0.11579516185559166,-0.1972477727599063,0.17374736314274883,-1.3516627230468656,-0.2292553033482897
EAM184,0.9370964542123954,0.32649042902142306,0.9447545565350249,1.7177123509657353,0.3063240929051677,-0.4206850875897699,-0.7706603637339269,-0.7734683345855555,-0.7407937646756698,0.7456438961466662,-0.42119562774461067,-1.8512186014569112
EAM186,1.6321586533324632,-0.1572761447848688,0.9418113859151579,1.2540397341886496,1.1115958029710604,-0.6412027441229425,-1.0338121207610627,-1.183637983154995,0.0978105880865538,-0.2513274160686541,-0.6663559910941866,-1.1038037645071337
EAM189,0.7755414654925838,0.6159279858390814,0.8613564693823355,1.6820003750380947,0.6523417074330352,-0.6024751386946434,0.19547088050088524,-1.4623244845998944,-1.3573315873373248,0.23528321611027567,-0.402927944359771,-1.1928629448046288
EAM191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EAM192,1.2673344075898576,1.0834918732388363,0.018214137497123847,1.4442549830852878,0.9263986036178936,-0.05358652046256137,-0.07904525049074891,-1.5582326615294622,-1.2061513305866332,-0.2994920418408247,-0.5445763138633398,-0.9986098862554561
EAM198,3.1754264805429164,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923,-0.28867513459483923
EAM202,-0.45910428112893464,-0.45910428112893464,-0.45910428112893464,-0.45910428112893464,-0.45910428112893464,-0.45910428112893464,-0.45910428112893464,2.694217228730323,-0.41583496699560896,0.022758535355840038,-0.45910428112893464,1.3716934519409156
EAM209,1.2894924348199932,-1.05510703567797,-0.16271313069749926,1.605550919869618,0.31248357401746363,0.6156039924276306,0.5048911078985531,-1.168869607343494,-1.477645809170338,0.3841974291047475,0.22080813040073027,-1.0686920056494025
EAM221,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,3.175426480542945,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093,-0.2886751345948093
EAM223,0.9519650067663299,-1.8930790961523878,-0.10518746440057279,2.041965493132011,-0.5800442773752403,0.6904726610547238,-0.7591582299141832,0.3499236315725834,0.44422327071063966,-0.048127878448544555,-0.647548794002839,-0.4454043229425069
EAM224,1.5434071299669643,-0.08864975750648171,1.4063610577039114,0.7784892916556995,1.1359562514449757,-0.7671199986652679,-1.6352833084572171,-0.40596570060882387,-0.05198122696076224,-0.40555599635691736,-0.7265592777264274,-0.7830984644896587
EAM225,1.1230294881203404,-1.160667205315,0.5033916480926623,1.2143035161945914,0.1700876129900542,-0.7205007688041112,-1.160667205315,-0.28628252738120624,0.5823590656400492,1.5878091456849592,-1.160667205315,-0.6921955645923209
EAM226,1.1034554476163112,0.5055012058400324,0.37730638827917373,1.6726577319969862,0.7854544752182976,-0.3700283238757751,0.22662883711573867,-1.7393132723251414,-0.9798076188064888,0.19614743867377896,-0.5913967778088611,-1.1866055319240523
EAM227,1.8055336170696135,0.07896929235873237,0.029002817632142446,2.0232093485517857,-0.1664106231302653,-0.4397420814118589,-0.5649056270141073,-1.492253714885324,-0.06054106281847915,0.05547020771008843,-0.4587887079165487,-0.8095434661457789
EAM234,0.8846584344605858,0.17079525512328364,0.46265300380073365,2.158345266151185,0.8095877425345043,-0.5157809222911376,-0.3369693244370512,-1.2642244036044397,-0.7230112410418634,0.17092100167592336,-0.4187045836530542,-1.398270228718684
EAM235,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,3.1754264805429413,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133,-0.2886751345948133
